"id","cod_SIMS","nombre","domicilio","localidad","telefono","email","internacion","dependencia","regimen","cod_municipio","municipio","departamento","nodo","lat","lon"
755,"06300214","Centro Asistencial Casa De Gobierno","3 de Febrero 2649","Santa Fe","042-21081",,"No","Provincial","No definido",0147,"Santa Fe","La Capital","Santa Fe","-31.65793","-60.71062"
704,"04901783","Centro Asistencial Nueva Fe","Barrio Nueva Fe","Reconquista",,,"No","Municipal","Provincial- Decreto Nacional 939",0112,"Reconquista","General Obligado","Reconquista","-29.1744","-59.65738"
1328,"06309874","Centro De Atención Ambulatoria Programada","Bv. Dr. Zavalla 3361","Santa Fe","(0342) 4572375 int 305",,"No","Provincial","Provincial- Decreto Nacional 939",0147,"Santa Fe","La Capital","Santa Fe","-31.63476","-60.71703"
838,"08417574","Centro De Especialidades Medicas Ambulatorias (CEMAR)","San Luís 2020","Rosario","0341 4802600",,"No","Municipal","Municipal/Comunal",0210,"Rosario","Rosario","Rosario","-32.94675","-60.6515"
1253,"06309820","Centro De Tratamiento Ambulatorio-Adicciones Casa Del Sol","Av. Freyre 2070","Santa Fe","0342-4573918",,"No","Provincial","Provincial- Decreto Nacional 939",0147,"Santa Fe","La Capital","Santa Fe","-31.649507119232","-60.719870758138"
785,"08400712","Centro Regional De Hemoterapia","Lavalle 356","Rosario","0341-4804888","centrodesangre@rosario.gov.ar","No","Provincial","Provincial- Decreto Nacional 939",0210,"Rosario","Rosario","Rosario","-32.934166666667","-60.676472222222"
218,"08404259","Centro Regional De Salud Mental Dr. Agudo Ávila","Suipacha 667","Rosario","0341-4724640/55/90","agudoavila@hotmail.com","Si","Provincial","Descentralizado - Ley Prov. 10608",0210,"Rosario","Rosario","Rosario","-32.940111111111","-60.663777777778"
844,"08418249","CIC 20 de Junio","Regimiento 11 Nº 1593","Villa Gobernador Gálvez","0341-4983413",,"No","Provincial","Provincial- Decreto Nacional 939",0217,"Villa Gobernador Gálvez","Rosario","Rosario","-33.02417","-60.60408"
707,"04901810","CIC Barrio América","Roca y Calle 63","Reconquista","03482-15614262","cic1@reconquista.gov.ar","No","Municipal","Provincial- Decreto Nacional 939",0112,"Reconquista","General Obligado","Reconquista","-29.16737","-59.64666"
846,"09800561","CIC Bo. Lujan","Islas Malvinas 2084","Romang","03482-15406680",,"No","Provincial","Provincial- Decreto Nacional 939",3715,"Romang","San Javier","Reconquista","-29.50795","-59.75669"
850,"13300785","CIC Calchaquí","A. P. Justo y Salta","Calchaquí","03483-15431523","calchaqui@gmail.com","No","Provincial","Provincial- Decreto Nacional 939",0329,"Calchaquí","Vera","Reconquista","-29.89328","-60.29037"
689,"06309395","CIC Callejón Roca","Callejón Roca 2300","Santa Fe","0342-4579140 centrex 9140","cicroca@outlook.com.ar","No","Provincial","SAMCo. Ley Provincial 63/12",0147,"Santa Fe","La Capital","Santa Fe","-31.578450000","-60.684216670"
848,"11901539","CIC Capitán Bermúdez","Laprida y Ayacucho","Capitán Bermúdez","0341-4782129-4913921","cicbermudez@netcoop.com.ar","No","Provincial","Provincial- Decreto Nacional 939",0266,"Capitán Bermúdez","San Lorenzo","Rosario","-32.80211","-60.72663"
568,"03500484","CIC Cayastá","Álvaro Gil s/n","Cayastá","03405/493011, centrex: 6226","samcocayasta09@yahoo.com.ar","No","Provincial","Provincial- Decreto Nacional 939",2539,"Cayastá","Garay","Santa Fe","-31.20182","-60.16358"
708,"04901819","CIC Florencia","San Roque 638","Florencia","03482-491105",,"No","Municipal","Provincial- Decreto Nacional 939",2798,"Florencia","General Obligado","Reconquista","-28.03798","-59.21541"
1273,"03500549","CIC Las Malvinas","RP 1 S Teófilo Madrejón Km 39","Santa Rosa De Calchines","0342-154355895","samco_santarosa@hotmail.com","No","Provincial","Provincial- Decreto Nacional 939",2567,"Santa Rosa de Calchines","Garay","Santa Fe","-31.39664","-60.32213"
692,"06309391","CIC Loyola Sur","J. Civils 6539","Santa Fe","0342-4579262 ctx 9262",,"No","Provincial","Provincial- Decreto Nacional 939",0147,"Santa Fe","La Capital","Santa Fe","-31.578433788166","-60.738854082981"
1254,"04902351","CIC Malabrigo","General Obligado 1111","Malabrigo","03482-445857","cicmalabrigo_salud@yahoo.com.ar","No","Provincial","Dep. de SAMCo.",0105,"Malabrigo","General Obligado","Reconquista","-29.35143","-59.97576"
373,"09800234","CIC San Javier - Fonavi","Hipólito Irigoyen y Gral. López","San Javier","03405-424611",,"No","Provincial","Provincial- Decreto Nacional 939",0238,"San Javier","San Javier","Santa Fe","-30.57883","-59.93681"
840,"06307536","CIC Sauce Viejo","Córdoba y Uruguay","Sauce Viejo","0342-4950212",,"No","Municipal","Municipal/Comunal",3029,"Sauce Viejo","La Capital","Santa Fe","-31.77448","-60.83664"
617,"02801162","CIC Villa Constitución Dr. Ramón Carrillo","Almafuerte y Calle Pbca Nº 3","Villa Constitución","03400-430010",,"No","Municipal","No definido",0056,"Villa Constitución","Constitución","Rosario","-33.22942","-60.3485"
735,"04901981","CIC Villa Ocampo","Güemes entre Pedro Giachino y San Vicent","Villa Ocampo","03482-469320","cicvillaocampo@gmail.com","No","Municipal","Municipal/Comunal",0119,"Villa Ocampo","General Obligado","Reconquista","-28.48311","-59.37152"
43,"05600133","Colonia Psiquiátrica Dr. Abelardo Freyre","RP 11 S - Km. 357","Oliveros","03476/498039 centrex 6406","coloniaoliveros@ihotmail.com","Si","Provincial","Descentralizado - Ley Prov. 10608",2917,"Oliveros","Iriondo","Rosario","-32.533426","-60.868861"
602,"11900581","CS 1 De Julio","Luis Borghi 52","San Lorenzo",,,"No","Municipal","Municipal/Comunal",0301,"San Lorenzo","San Lorenzo","Rosario","-32.75642","-60.72693"
1342,"02102783","CS 10 2 De Abril","Cortazza y M. Cetta","Rafaela",,,"No","Provincial","Provincial- Decreto Nacional 939",0042,"Rafaela","Castellanos","Rafaela","-31.27357","-61.47046"
